title,funders
Towards a Modular On-Premise Approach for Data Sharing,"Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa| H2020-SUICT-03-2018"
Research on new energy data sharing platform based on IOT identification and positioning technology,National Key R&D Program of China| Science and Technology Foundation of SGCC
Secure Data Access Control With Fair Accountability in Smart Grid Data Sharing: An Edge Blockchain Approach,National Natural Science Foundation of China| Fundamental Research Funds for the Central Universities
Secure Social Multimedia Big Data Sharing Using Scalable JFE in the TSHWT Domain,Natural Science Foundation of Hubei Province of China| Youth Innovation Team Project in the Hubei Provincial Department of Education| Major Scientific and Technological Innovation Project of Hubei Province| Natural Science Foundation of China
Meta-analysis of randomized clinical trials in the era of individual patient data sharing.,Japan Society for the Promotion of Science (JP)
DG.O - Open Data Portal Quality Comparison using AHP,Fonds National de la Recherche Luxembourg| European Commission (H2020 Programme)| Austrian Research Promotion Agency
Data sharing for novel coronavirus (COVID-19).,World Health Organization
Clinical data sharing improves quality measurement and patient safety.,Kansas Health Information Network| Diameter Health
"Responsible, practical genomic data sharing that accelerates research.",NHLBI NIH HHS
Integration of data and computing infrastructures for earth science: an image mosaicking use-case,Seventh Framework Programme (BE)| Seventh Framework Programme (BE)| Seventh Framework Programme (BE)
Three-level pipelined multi-resolution integer motion estimation engine with optimized reference data sharing search for AVS,National Natural Science Foundation of China| Beijing Natural Science Foundation
Online/offline unbounded multi-authority attribute-based encryption for data sharing in mobile cloud computing,"National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Basic Research Plan in Shaanxi Province| Shaanxi Provincial Education Department| New Star Team of Xi'an University of Posts and Telecommunications,| Priority Academic Program Development| NUPTSF"
A Data Sharing Protocol to Minimize Security and Privacy Risks of Cloud Storage in Big Data Era,China University of Political Science and Law
Federated-Learning-Empowered Collaborative Data Sharing for Vehicular Edge Networks,"National NSFC| National Key R & D Program of China| Fundamental Research Funds for the Central Universities| Chongqing Research Program of Basic Research and Frontier Technology| National Research Foundation, Singapore"
SDN-Based Security Enforcement Framework for Data Sharing Systems of Smart Healthcare,National Natural Science Foundation of China| National Natural Science Foundation of China
Promises and pitfalls of data sharing in qualitative research.,NIMH NIH HHS| NIMH NIH HHS| NIMH NIH HHS
MPLDS: An integration of CP-ABE and local differential privacy for achieving multiple privacy levels data sharing,the National Key Research and Development Program of China| the National Key Research and Development Program of China| the National Science Foundation of China
Provably Secure and Lightweight Identity-Based Authenticated Data Sharing Protocol for Cyber-Physical Cloud Environment,University of Texas at San Antonio
Biobank Participants' Attitudes Toward Data Sharing and Privacy: The Role of Trust in Reducing Perceived Risks.,Indiana Clinical and Translational Sciences Institute| Indiana University Precision Health Initiative
Open Data Settings: A Conceptual Framework Explored Through the Map Room Project,Digital Integrative Liberal Arts Center at Georgia Tech
Data use under the NIH GWAS Data Sharing Policy and future directions,Intramural NIH HHS
Enabling Efficient Decentralized and Privacy Preserving Data Sharing in Mobile Cloud Computing,Natural Science Foundation of Hebei Province| Natural Science Foundation of Hebei Province| Natural Science Foundation of Hebei Province| Natural Science Foundation of Hebei Province| Natural Science Foundation of Hebei Province| Natural Science Foundation of Hebei Province| Natural Science Foundation of Hebei Province
"Psychology, not technology, is our biggest challenge to open digital morphology data",Department of Education and Training | Australian Research Council| The University of Adelaide Research Fellowship
Genomic GPS: using genetic distance from individuals to public data for genomic analysis without disclosing personal genomes,NIH HHS| NIH HHS| National Institute of Neurological Disorders and Stroke (US)
Research on Consistency Tracing Technology of Dispatching Control Model Data based on Blockchain,State Grid Corporation of China
Smart Environmental Data Infrastructures: Bridging the Gap between Earth Sciences and Citizens,Innovation and Networks Executive Agency| European Regional Development Fund
Revocable and Privacy-Preserving Decentralized Data Sharing Framework for Fog-Assisted Internet of Things,Inner Mongolia Major science and technology projects| Innovation Fund of Inner Mongolia University of Science and Technology| Natural Science Foundation of Inner Mongolia
Public attitudes in England towards the sharing of personal data following a mass casualty incident: a cross-sectional study,Department of Health
Opt-in method is vital for data sharing.,Medical Research Council| Medical Research Council
Examples of Effective Data Sharing in Scientific Publishing,Carnegie Mellon University| Basic Energy Sciences
"A marathon, not a sprint - neuroimaging, Open Science and ethics.",CIHR
BSCI - A Security and Privacy Focused KYC Data Sharing Platform,Horizon 2020 research and innovation programme
Searchable Attribute-Based Mechanism With Efficient Data Sharing for Secure Cloud Storage,"Privacy-Aware Retrieval and Modeling of Genomic Data| Academy of Finland, Finland| Australian Research Council Discovery Project"
Responsible data sharing in international health research: a systematic review of principles and norms,Innovative Medicines Initiative
Sustainability Considerations for Health Research and Analytic Data Infrastructures,AHRQ HHS| AHRQ HHS
Controlled secure social cloud data sharing based on a novel identity based proxy re-encryption plus scheme,National Cryptography Development Fund of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Key Program of NSFC| National Key Research and Development Program of China| Natural Science Basic Research Plan in Shaanxi Province of china| Shaanxi Science & Technology Coordination & Innovation Project| Fundamental Research Funds for the Central Universities| Guangxi Key Laboratory of Cryptography and Information Security| Research funding for Innovation team of Engineering University of PAP
A Secure Data Sharing Scheme with Designated Server,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China
Research Update: The materials genome initiative: Data sharing and the impact of collaborative ab initio databases,U.S. Department of Energy (DOE)| U.S. Department of Energy (DOE)
Secure Online/Offline Data Sharing Framework for Cloud-Assisted Industrial Internet of Things,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Fundamental Research Funds for the Central Universities| Natural Science Foundation of Shaanxi Province| China Postdoctoral Science Foundation| China Scholarship Council| National Research Foundation Singapore| National Cybersecurity R&D| AXA Research Fund
Secure Data Sharing in Cloud Computing Using Revocable-Storage Identity-Based Encryption,National Basic Research Program of China| National Nature Science Foundation of China| National Nature Science Foundation of China| Foundation of Science and Technology on Information Assurance Laboratory
Optimizing primary care research participation: a comparison of three recruitment methods in data-sharing studies,Department of Health
Data sharing in neuroimaging research,Wellcome Trust| NICHD NIH HHS| NIMH NIH HHS
Open Humans: A platform for participant-centered research and personal data exploration.,Robert Wood Johnson Foundation| John S. and James L. Knight Foundation
Allocating Personal Data Rights: Toward Resolving Conflicts of Interest over Personal Data,the 67th PhD Project “Research on the Conflict of Shareholders and the Governance of Private Law in the Public Use of Government Data”| National Major Science and Technology Projects of China
WI - Keeping linked open data caches up-to-date by predicting the life-time of RDF triples,EU's Horizon 2020 programme
Medical Data Sharing Scheme Based on Attribute Cryptosystem and Blockchain Technology,National Natural Science Foundation of China| National Natural Science Foundation of China| China Postdoctoral Science Foundation| Science and Technology Project of Lanzhou City| Northwest Normal University
AsiaCCS - Generally Hybrid Proxy Re-Encryption: A Secure Data Sharing among Cryptographic Clouds,National Natural Science Foundation of China| National Program on Key Basic Research Project (973 Program)
Disclose More and Risk Less: Privacy Preserving Online Social Network Data Sharing,Natural Sciences and Engineering Research Council of Canada| Canada Foundation for Innovation| BC Knowledge Development Fund| National Natural Science Foundation of China| National Natural Science Foundation of China
Responsible practices for data sharing.,NICHD NIH HHS
Data sharing for public health research: A qualitative study of industry and academia.,FDA HHS
Consent for processing children’s personal data in the EU: following in US footsteps?,the Netherlands Organisation for Scientific Research (NWO)
Secure Identity-Based Data Sharing and Profile Matching for Mobile Healthcare Social Networks in Cloud Computing,National Basic Research Program of China| National Natural Science Foundation of China| Key Program of Joint Funds of the National Natural Science Foundation of China| China Scholarship Council
PSB - A heuristic method for simulating open-data of arbitrary complexity that can be used to compare and evaluate machine learning methods.,NIAID NIH HHS| NLM NIH HHS| NIDDK NIH HHS
Delegation-Based Personal Data Processing Request Notarization Framework for GDPR Based on Private Blockchain,Institute for Information and Communications Technology Promotion
"Intra-consortium data sharing in multi-national, multi-institutional genomic studies: gaps and guidance.",NIAID NIH HHS
Thread Data Sharing in Cache,IBM CAS Faculty Fellowship| National Science Foundation| Huawei Technologies
SeDS: Secure Data Sharing Strategy for D2D Communication in LTE-Advanced Networks,State Key Development Program of Basic Research of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Priority Academic Program Development of Jiangsu Higher Education Institutions| Nanjing University of Posts and Telecommunications Foundation| Education Natural Science Foundation of Jiangsu Province| Innovation Program for Postgraduate of Jiangsu Province
Revocable Key-Aggregate Cryptosystem for Data Sharing in Cloud,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China
Between Minimal and Greater Than Minimal Risk: How Research Participants and Oncologists Assess Data-Sharing and the Risk of Re-identification in Genomic Research,DKFZ Heidelberg Center for Personalized Oncology
iCLIC Data Mining and Data Sharing workshop: The present and future of data mining and data sharing in the EU,Computer Law and Security Review| British and Irish Law Education and Technology Association
Towards a data sharing culture: recommendations for leadership from academic health centers,PHS HHS| NCATS NIH HHS| NLM NIH HHS| PHS HHS| NLM NIH HHS
The law of everything. Broad concept of personal data and future of EU data protection law,European Research Council
"The global cardiovascular magnetic resonance registry (GCMR) of the society for cardiovascular magnetic resonance (SCMR): its goals, rationale, data infrastructure, and current developments",NHLBI NIH HHS
Expanding the SDI environment: comparing current spatial data infrastructure with emerging indoor location-based services,Natural Sciences and Engineering Research Council of Canada
MobiSys - Open Data Kit 2.0: A Services-Based Application Framework for Disconnected Data Management,Bill and Melinda Gates Foundation Grant| USAID
Proxy re-encryption enabled secure and anonymous IoT data sharing platform based on blockchain,Horizon 2020| Academy of Finland| European Cooperation in Science and Technology
Data sharing policies: share well and you shall be rewarded.,Oxford University Press
EATIS - Analysis of the data sets published in the Colombian open data portal: Case of the Metropolitan Area of the Aburra Valley,"Departamento Administrativo de Ciencia, Tecnología e Innovación, Colciencias"
Open data and its usability: an empirical view from the Citizen's perspective,Brunel University
LusTRE: a framework of linked environmental thesauri for metadata management,"European Union, Competitiveness and Innovation Framework Programme"
Toward the Evolution of National Spatial Data Infrastructure Development in Indonesia,Research and Innovation in Science and Technology Project (RISET-Pro)
Hidden concerns of sharing research data by low/middle-income country scientists.,INASP
CIKM - Building a Dossier on the Cheap: Integrating Distributed Personal Data Resources Under Cost Constraints,National Science Foundation| National Institutes of Health
Open Data Practices among Users of Primary Biodiversity Data.,Norwegian Research Council
"Conference on Designing Interactive Systems (Companion Volume) - People, Personal Data and the Built Environment",Engineering and Physical Sciences Research Council| The University of Nottingham
Systematic Mapping of Open Data Studies: Classification and Trends From a Technological Perspective,Spanish Government| Spanish Government| European Union Horizon 2020 Program through the ODINE Project and the Data Pitch Project| European Union Horizon 2020 Program through the ODINE Project and the Data Pitch Project| “José Castillejo” research program from the Spanish Government
Using open data to detect the structure and pattern of informal settlements: an outset to support inclusive SDGs' achievement,Centre for Spatial Data Infrastructures and Land Administration
"The Diachronic Spanish Sonnet Corpus: TEI and linked open data encoding, data distribution, and metrical findings",European Research Council| Poetry Standardization and Linked Open Data
SAC - A contextual edit distance for semantic trajectories,CVL region (FRANCE)| ANR Mobi'kids
BCB - Cloud-assisted distributed private data sharing,NHLBI| NSERC| National Science Foundation| NLM| NHGRI
CHI - Challenges of using Personal Data to Drive Personalised Electronic Programme Guides,BBC R&D| RCUK
Overview and experience of the YODA Project with clinical trial data sharing after 5 years.,AHRQ HHS| AHRQ HHS| FDA HHS| FDA HHS
Enabling qualitative research data sharing using a natural language processing pipeline for deidentification: moving beyond HIPAA Safe Harbor identifiers.,National Human Genome Research Institute of the U.S. National Institutes of Health| National Center for Advancing Translational Sciences| National Institutes of Health or the National Human Genome Research Institute
Blockchain-based platforms for genomic data sharing: a de-centralized approach in response to the governance problems?,Research-Foundation Flanders
Personal Data Management Systems: The security and functionality standpoint,Inria| ANR
D2D-Enabled Data Sharing for Distributed Machine Learning at Wireless Network Edge,Special Project for Research and Development in Key areas of Guangdong Province| National Basic Research Program of China| Natural Science Foundation of China| Natural Science Foundation of China| Guangdong Province Basic Research Program| Guangdong Zhujiang Project| Shenzhen Key Laboratory Fund
"Resources, methods, and data infrastructure to promote research in dementia care, caregiving, and services",NIA NIH HHS| NIA NIH HHS| NIA NIH HHS| NIA NIH HHS
A Consent Model for Blockchain-Based Health Data Sharing Platforms,NWO Aspasia| Maastricht York Partnership Grant
PPOPP - Thread Data Sharing in Cache: Theory and Measurement,IBM CAS Faculty Fellowship| National Science Foundation| Huawei Technologies
DPSynthesizer: differentially private data synthesizer for privacy preserving data sharing,NLM NIH HHS| NLM NIH HHS| NHLBI NIH HHS
Dimensional enrichment of statistical linked open data,Information Technologies for Business Intelligence—Doctoral College| Secretaria d’Universitats i Recerca de la Generalitat de Catalunya
Efficient Attribute-Based Secure Data Sharing with Hidden Policies and Traceability in Mobile Health Networks,National Research Foundation of Korea| National Research Foundation of Korea
Towards a Planetary Spatial Data Infrastructure,National Aeronautics and Space Administration
Including all voices in international data-sharing governance.,Medical Research Council| Medical Research Council| NHGRI NIH HHS| Medical Research Council| Wellcome Trust| Wellcome Trust| NHGRI NIH HHS
Esteemed Colleagues: A Model of the Effect of Open Data on Selective Reporting of Scientific Results.,Agence Nationale de la Recherche
End-to-end jet classification of quarks and gluons with the CMS Open Data,H2020 Marie Skłodowska-Curie Actions| U.S. Department of Defense
Access and Management: Indigenous Perspectives on Genomic Data Sharing.,NHGRI NIH HHS| NIEHS NIH HHS
Building Data Infrastructure to Evaluate and Improve Quality: PCORnet,NCI NIH HHS| NCI NIH HHS
Building a data sharing model for global genomic research,NCRR NIH HHS| NCI NIH HHS| Wellcome Trust| Wellcome Trust| NCI NIH HHS| NCRR NIH HHS
Efficient Attribute-Based Data Sharing Scheme with Hidden Access Structures,National Natural Science Foundation of China
PP-CSA: A Privacy-Preserving Cloud Storage Auditing Scheme for Data Sharing,"National Natural Science Foundation of China| Special Fund for Key Program of Science and Technology of Anhui Province, China"
Internetware - Blockchain-based Bidirectional Transformations for Access Control and Data Sharing in EMRs,Ph.D. start-up foundation of Longyan University| the Japan Society for the Promotion of Science (JSPS) Grant-in-Aid for Scientific Research (S)| the Japan Society for the Promotion of Science (JSPS) Grant-in-Aid for Scientific Research (A)
An Untraceable Data Sharing Scheme in Wireless Sensor Networks.,National Natural Science Foundation of China
Research participants' attitudes towards the confidentiality of genomic sequence information,Intramural NIH HHS
PEARC - Combining HPC and Big Data Infrastructures in Large-Scale Post-Processing of Simulation Data: A Case Study,National Science Foundation
"Opening a ""Can of Worms"" to Explore the Public's Hopes and Fears About Health Care Data Sharing: Qualitative Study.",British Heart Foundation
"A community effort to protect genomic data sharing, collaboration and outsourcing",NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NIBIB NIH HHS
An environmental monitoring data sharing scheme based on attribute encryption in cloud-fog computing.,postdoctoral research foundation of china| northwest normal university| lanzhou science and technology bureau| national natural science foundation of china| national natural science foundation of china| national natural science foundation of china
DG.O - Investigating open data portals automatically: a methodology and some illustrations,CNPq
EABDS: Attribute-Based Secure Data Sharing with Efficient Revocation in Cloud Computing,National Natural Science Foundation of China| National Natural Science Foundation of China
Empirical Study of Data Sharing by Authors Publishing in PLoS Journals,NCI NIH HHS| NCI NIH HHS
Open data informatics and data repurposing for IBD.,NIH HHS| NIH HHS| NIDDK NIH HHS
Reliable Data Sharing by Certificateless Encryption Supporting Keyword Search Against Vulnerable KGC in Industrial Internet of Things,Ministry of Science and Technology Taiwan| Ministry of Science and Technology Taiwan| Ministry of Science and Technology Taiwan
The Elements of Data Sharing.,Strategic Priority Research Program of the Chinese Academy of Sciences| Strategic Priority Research Program of the Chinese Academy of Sciences| National Key R&D Program of China| 13th Five-year Informatization Plan of the Chinese Academy of Sciences| International Partnership Program of the Chinese Academy of Sciences
PRDC - Fengyi: Trusted Data Sharing in VANETs with Blockchain,National Natural Science Foundation of China
"Data Sharing of Imaging in an Evolving Health Care World: Report of the ACR Data Sharing Workgroup Part 1: Data Ethics of Privacy, Consent, and Anonymization",American College of Radiology Imaging Network| Philips| Genentech| National Institutes of Health| Aid for Cancer Research| Radiological Society of North America
Effective Practices for Interagency Data Sharing: Insights from Collaborative Research in a Regional Intervention,Australian Research Council
A parasite's perspective on data sharing.,Gordon and Betty Moore Foundation| Alex's Lemonade Stand Foundation| Chan Zuckerberg Initiative Donor-Advised Fund| Silicon Valley Community Foundation| National Institutes of Health
Disrupting data sharing for a healthier ocean,IBM Corporate Service Corps| WWF- Global Science| Global Change Institute| CGI| University of Queensland
The promotion of data sharing in pharmacoepidemiology,Wellcome Trust| Wellcome Trust| Medical Research Council| Medical Research Council| Wellcome Trust
Advancing Science Through Collaborative Data Sharing and Synthesis.,NIMH NIH HHS| NCATS NIH HHS
Data Sharing Statements for Clinical Trials: A Requirement of the International Committee of Medical Journal Editors.,World Health Organization
Granularity Decision of Microservice Splitting in View of Maintainability and Its Innovation Effect in Government Data Sharing,Education Department of Shaanxi Province| Education Department of Shaanxi Province| Education Department of Shaanxi Province| Education Department of Shaanxi Province
Privacy-Aware Time-Series Data Sharing With Deep Reinforcement Learning,European Research Council (ERC) through Project BEACON
Semantic Interpretation and Integration of Open Data Tables,"Indian Institute of Technology, Bombay| Indian Institute of Technology, Bombay"
ICC - On Secure and Efficient Data Sharing for Smart Grids: An Anti-Collusion Scheme,National Natural Science Foundation of China| China Postdoctoral Science Foundation| Research and Development
Three Decades of Business Activity Evolution in Curitiba: A Case Study,RNP| CNPq
Is There a Social Life in Open Data? The Case of Open Data Practices in Educational Technology Research,Ministerio de Ciencia e Innovación
From data sharing to data publishing,National Institutes of Health| National Institutes of Health| National Institutes of Health
How Open Data Shapes In Silico Transporter Modeling.,Austrian Science Fund FWF
SIGCSE - Insights for Curriculum Development: Identifying Emerging Data Science Topics through Analysis of Q&A Communities,National Science Foundation
A Proxy Re-Encryption Approach to Secure Data Sharing in the Internet of Things Based on Blockchain,International Science and Technology Cooperation and Exchange of Sichuan Province| Science and Technology Program of Sichuan Province
ClinGen's GenomeConnect registry enables patient-centered data sharing,NHGRI NIH HHS| NHGRI NIH HHS
Efficient and Secure Data Sharing for 5G Flying Drones: A Blockchain-Enabled Approach,National Natural Science Foundation of China
Mental health professional perspectives on health data sharing: Mixed methods study.,NIMH NIH HHS
Securing Spatial Data Infrastructures For Distributed Smart City Applications and Services,Climate-KIC of the European Institute of Innovation and Technology
"Challenges in Alzheimer's Disease Drug Discovery and Development: The Role of Modeling, Simulation, and Open Data.",FDA HHS
Comments on “Attribute-Based Data Sharing Scheme Revisited in Cloud Computing”,Characteristic Innovation Projects of Ordinary Universities of Guangdong Province
"WWW (Companion Volume) - Search, Filter, Fork, and Link Open Data: The ADEQUATe platform: data- and community-driven quality improvements",Austrian Federal Ministry of Transport Innovation and Technology (BMVIT)
Controlling the signal: Practical privacy protection of genomic data sharing through Beacon services.,NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS| NHGRI NIH HHS
Accelerating the Evolution of Nonhuman Primate Neuroimaging,"Medical Research Council| Medical Research Council| Medical Research Council| NIMH NIH HHS| National Centre for the Replacement, Refinement and Reduction of Animals in Research| NINDS NIH HHS| NIMH NIH HHS| National Centre for the Replacement, Refinement and Reduction of Animals in Research| Medical Research Council| NIH HHS| Wellcome Trust| Medical Research Council| NIMH NIH HHS"
A framework for the quality-based selection and retrieval of open data - a use case from the maritime domain,European Defence Agency
Research on Data Sharing Architecture for Ecological Monitoring Using Iot Streaming Data,"National Key Research and Development Program of China| National Natural Science Foundation of China| Foundation for Excellent Youth Scholars of the Northwest Institute of Eco-Environment and Resources, Chinese Academy of Sciences"
"Public Participation, Trust and Data Sharing: Gardens as Hubs for Citizen Science and Environmental Health Literacy Efforts.",NIEHS NIH HHS
Forecasting Price Trend of Bulk Commodities Leveraging Cross-domain Open Data Fusion,National Key Research and Development Plan| National Natural Science Foundation of China
SPChain: Blockchain-based medical data sharing and privacy-preserving eHealth system,National Natural Science Foundation of China
A Review of Secure and Privacy-Preserving Medical Data Sharing,National Science Foundation| National Science Foundation| National Science Foundation| National Science Foundation
Advancing research in NeuroAIDS using collaboration and public data sharing.,National Health and Medical Research Council
Cost-Effective and Scalable Data Sharing in Cloud Storage Using Hierarchical Attribute-Based Encryption with Forward Security,National Nature Science Foundation of China| National Nature Science Foundation of China| National Nature Science Foundation of China
DeID - a data sharing tool for neuroimaging studies.,NCRR NIH HHS| NICHD NIH HHS
On Minimizing Sensing Time via Data Sharing in Collaborative Internet of Things,"National Key Research and Development Program of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Research Grants Council of the Hong Kong Special Administrative Region, China| Southeast University"
ISCB's initial reaction to New England Journal of Medicine editorial on data sharing.,NEI NIH HHS
"Data sharing and privacy issues in neuroimaging research: Opportunities, obstacles, challenges, and monsters under the bed",ZonMw| Sophia Children's Hospital Foundation
The growth and gaps of genetic data sharing policies in the United States,NHGRI NIH HHS
BSCI - The Data Sharing Scheme based on Blockchain,National Natural Science Foundation of China| National Natural Science Foundation of China| China Postdoctoral Science Foundation
ICEGOV - Using parliamentary open data to improve participation,Fundação de Amparo à Pesquisa do Estado de São Paulo| Open Source Software Research Centre at USP - NAPSoL
Characterizing the Biomedical Data-Sharing Landscape.,NHGRI NIH HHS| NHGRI NIH HHS
Citizen Science and Open Data: a model for Invasive Alien Species in Europe,European Cooperation in Science and Technology
Analytic and Data Sharing Options in Real-World Multidatabase Studies of Comparative Effectiveness and Safety of Medical Products.,AHRQ HHS| NIBIB NIH HHS
Data@Hand: Fostering Visual Exploration of Personal Data on Smartphones Leveraging Speech and Touch Interaction,National Science Foundation| National Research Foundation of Korea
ICWS - A Novel Data Placement Strategy for Data-Sharing Scientific Workflows in Heterogeneous Edge-Cloud Computing Environments,National Key Research and Development Program of China| National Natural Science Foundation of China
DNA data sharing: Research participants’ perspectives,NINDS NIH HHS| NHGRI NIH HHS| NINDS NIH HHS| NINDS NIH HHS| NHGRI NIH HHS| NINDS NIH HHS
Secure Data Sharing with Flexible User Access Privilege Update in Cloud-assisted IoMT,National Natural Science Foundation of China
Privacy technology to support data sharing for comparative effectiveness research: a systematic review.,NHLBI NIH HHS| AHRQ HHS| NHLBI NIH HHS| AHRQ HHS| NLM NIH HHS| NLM NIH HHS| NHLBI NIH HHS| NCATS NIH HHS| NLM NIH HHS
"WPES@CCS - PRShare: A Framework for Privacy-Preserving, Interorganizational Data Sharing",US National Science Foundation| William and Flora Hewlett Foundation| US Office of Naval Research
Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,"National Science, Technology and Innovation Plan| King Abdul-Aziz City for Science and Technology (KACST), Kingdom of Saudi Arabia| Science and Technology Unit at Umm Al-Qura University for their continued logistics support"
Open data in spatial data infrastructure: the practices and experiences of Poland,Military University of Technology
Data sharing and interoperability: Fostering innovation and competition through APIs,European Commission| European Commission
The EPI Framework: A Dynamic Data Sharing Framework for Healthcare Use Cases,Dutch Science Foundation in the Commit2Data Program through the Enabling Personalised Intervention Project
Photon-HDF5: Open Data Format and Computational Tools for Timestamp-based Single-Molecule Experiments,NIGMS NIH HHS
Efficient Fine-Grained Data Sharing Mechanism for Electronic Medical Record Systems with Mobile Devices,"National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Key Research Project of Zhejiang Province| Fundamental theory and cutting edge technology Research Program of Institute of Information Engineering, CAS| Australian Research Council Discovery Early Career Researcher Award"
Design of a Secure Medical Data Sharing Scheme Based on Blockchain.,National Natural Science Foundation of China
A Survey of Proxy Re-Encryption for Secure Data Sharing in Cloud Computing,National High Technology Research and Development Program of China 863| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China
A blockchain-assisted framework for secure and reliable data sharing in distributed systems,the Fundamental Research Funds for the Central Universities
Implementation of a health data-sharing infrastructure across diverse primary care organizations.,NCATS NIH HHS| NCATS NIH HHS
"DG.O - A comprehensive architecture to support open data access, co-creation, and dissemination",European Union
Feedback Loops in Open Data Ecosystems.,Trafikverket| Trafikverket
Regulating data sharing across MQTT environments,European Union’s Horizon 2020 Research and Innovation program| Marie Skłodowska-Curie Innovative Training Networks
ICEGOV - Empirical evidence of Colombian national e-government programs' impact on local Smart City-Adoption,"Departamento Administrativo de Ciencia, Tecnología e Innovación (COLCIENCIAS)"
Exploiting open data: a new era in pharmacoinformatics,Austrian Science Fund FWF
Improving data sharing between acute hospitals in England: an overview of health record system distribution and retrospective observational analysis of inter-hospital transitions of care.,Department of Health
ICEGOV - Mediating Open Data Consumption - Identifying Story Patterns for Linked Open Statistical Data,Science Foundation Ireland
ICEGOV - Access and use of government data by research and advocacy organisations in India: a survey of (potential) open data ecosystem,International Development Research Centre
Emerging technologies towards enhancing privacy in genomic data sharing.,NIGMS NIH HHS| NIH HHS
Data management and sharing policy: the first step towards promoting data sharing,Wellcome Trust| Wellcome Trust| Wellcome Trust
Privacy challenges and research opportunities for genomic data sharing.,NHGRI NIH HHS| NCI NIH HHS| NIGMS NIH HHS| NHLBI NIH HHS
Clinical Trial Participants' Views of the Risks and Benefits of Data Sharing,NCATS NIH HHS
Approximated Assignment Algorithms for Unordered and Ordered Tasks in Data Shared MEC Systems,National Natural Science Foundation of China| the Key Science Technology Specific Projects of Heilongjiang Province| National Natural Science Foundation of Heilongjiang Province
Facilitating reuse of planetary spatial research data – Conceptualizing an open map repository as part of a Planetary Research Data Infrastructure,U.S. Geological Survey| Deutsches Zentrum für Luft- und Raumfahrt| National Aeronautics and Space Administration| Université de Recherche Paris Sciences et Lettres| Jacobs University
UMAP - Semantics-aware Graph-based Recommender Systems Exploiting Linked Open Data,IBM Faculty Award| MAIVISTO - Massive Adaptive Internet Video Streaming Using the Cloud Bando START UP Linea 1 - Big Data (2014-2016)
An incentive mechanism for data sharing based on blockchain with smart contracts,National Natural Science Foundation of China| Fundamental Research Funds for the Central Universities| Fundamental Research Funds for the Central Universities
CAN@CoNEXT - Personal Data Management with the Databox: What's Inside the Box?,Seventh Framework Programme| Engineering and Physical Sciences Research Council
Fully Accountable Data Sharing for Pay-as-You-Go Cloud Scenes,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Key Research and Development Program of China| Key Research Project of Zhejiang Province| Natural Science Foundation of Beijing Municipality| Beijing Municipal Science and Technology Commission| Beijing Municipal Science and Technology Commission
AdaSharing: Adaptive Data Sharing in Collaborative Robots,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Basic Research Program of China (973 Program)| Natural Science Foundation of Zhejiang Province| 973 Project| Huawei
Improving data workflow systems with cloud services and use of open data for bioinformatics research.,Science Foundation Ireland
Verifiable attribute-based proxy re-encryption for secure public cloud data sharing,Foundation of Science and Technology on Information Assurance Laboratory| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Strategic Priority Research Program of the Chinese Academy of Sciences| The One Hundred Talents Project of CAS
Participants' recall and understanding of genomic research and large-scale data sharing.,NCI NIH HHS| NHGRI NIH HHS
"Connecting societal issues, users and data. Scenario-based design of open data platforms",Horizon 2020
Expert evaluation of open-data indicators of seaport vulnerability to climate and extreme weather impacts for U.S. North Atlantic ports,"US Army Corps of Engineers Engineer Research and Development Center, Broad Area Announcement"
A Parallel and Forward Private Searchable Public-Key Encryption for Cloud-Based Data Sharing,National Basic Research Program of China| National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Natural Science Foundation of Hubei Province| Science and Technology Planning Project of Shenzhen Municipality| Opening Project of Guangdong Provincial Key Laboratory of Data Security and Privacy Protection
Secure Data Sharing Framework via Hierarchical Greedy Embedding in Darknets,National Natural Science Foundation of China| National Natural Science Foundation of China| National Natural Science Foundation of China| Key Research and Development Plan
